,Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
0,0,141,awm.com,fake,http://awm.com/church-congregation-brings-gift-to-waitresses-working-on-christmas-eve-has-them-crying-video/,sometim power christma make wild wonder thing need believ holi triniti believ posit power good other simpl act give without receiv lost mani us day worri money success hold us back give other need one congreg ohio move action power sermon given church christma eve pastor grand lake unit methodist church celina ohio gave emot sermon import understand messag jesus mani religi peopl messag jesus help other make sure peopl suffer get help need enjoy life littl bit sermon realli generos look like live jesus live long time ago act generous fashion time - would generous act look like time focus sermon potenc sermon lost congreg move take action sermon end congreg decid take offer bowl pass around room everyon pitch could christma eve word sermon still ring ear offer member congreg drove local waffl hous visit ladi work night shift great choic holi day everyon famili ladi work waffl hous clear famili choic work holi day paid bill congreg understood sacrific made ladi want help donat entir offer split amongst ladi waffl hous total amount <num> split amongst staff beauti moment perfect exampl preacher talk sermon good deed like christma realli help eas burden felt ladi work waffl hous sure could see famili least got littl gift good peopl communiti perhap best part whole event congreg ask anyth return simpl act generos peopl understood pain felt anoth group sought allevi pain speak volum merit church daili live simpl act brought entir communiti togeth show empathi compass special day year,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Church Congregation Brings Gift to Waitresses Working on Christmas Eve, Has Them Crying (video)",Ruth Harris,,[''],,,
1,1,256,beforeitsnews.com,fake,http://beforeitsnews.com/awakening-start-here/2018/01/awakening-of-12-strands-of-dna-reconnecting-with-you-movie-10623.html,awaken <num> strand dna - reconnect movi reader think stori fact add two cent headlin bitcoin blockchain search exceed trump blockchain stock next januari <num> <num> - zurichtim net mile johnston give updat anoth case strang synchron good hidden insid test trial like follow whiterabbit rabbit hole type exercis research <num> strand dna came across articl one particular strang synchron written exact <num> year ago topic <url> <url> <num> strand dna war dna trailer awaken <num> strand full video avail paid video vimeo awaken <num> strand - reconnect vimeo com ondemand awakeningof12strand awaken <num> strand - reconnect sandra daroy vimeo watch full video base strang synchron present within suggest use discern alway necessari end time <url>,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,AWAKENING OF 12 STRANDS of DNA – “Reconnecting with You” Movie,Zurich Times,,[''],,,
2,2,700,cnnnext.com,fake,http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,never hike alon friday 13th fan film usa <num> <num> min fan tribut friday 13th never hike alon follow adventur never hike alon friday 13th fan film usa <num> <num> min fan tribut friday 13th never hike alon follow adventur blogger kyle mcleod andrew leighti uncov long lost remain camp crystal lake solo backpack trip ignor campfir tale childhood kyle search turn dead make grave mistak cross path camp blood legendari mass murder jason voorhe strand forest jason heel kyle must push surviv skill limit hope surviv night otherwis he'll wind anoth lost victim curs camp direct vincent disanti screenplay vincent disanti nathan mcleod base charact creat sean cunningham victor miller ron kurtz star andrew leighti kyle mcleod vincent disanti jason voorhe execut produc barri jay stitch carolyn gair sarah disanti produc kyle klein daniel evan matthew barrett co-produc steven squillant christoph thella alexand thella associ produc codi cameron christian ascencio lydia ascencio lynn hobson rene riva mike whelan director photographi christoph thella j martz product design brittani porter special make effect kelsey berk wardrob stephen boyd-moral stunt jessica bennett bryan forrest jason voorhe donni nichol kyle mcleod film edit lawrenc gan sarah disanti unit still photographi ash covington music ryan perez-dapl run like hell written vincent disanti jake gonsalv lenni machado perform gonsalv machado record elm street studio new bedford <num> appear courtesi damn enchilada anoth soul written perform trevor vaughan appear final salao mix tape record colosseum new bedford <num> appear courtesi trevor vaughan mass glori record addit cast crew visit <url> <url> disclaim product effort womp stomp film llc volunt associ never hike alon product fan fiction way affili repres viacom paramount film compani warner brother new line cinema horror inc friday 13th film properti charact project creat fan fan show appreci friday 13th franchis friday 13th octob <num> project made free avail care watch profit shall made view thank assist bring project life womp stomp film forev grate time dedic project thank watch,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Never Hike Alone - A Friday the 13th Fan Film (Full Movie),,,[''],"Never Hike Alone: A Friday the 13th Fan Film     USA | 2017 | 54 minA fan tribute to Friday the 13th, Never Hike Alone follows an adventure blogger, Kyle McLeod",,
3,3,768,awm.com,fake,http://awm.com/elusive-alien-of-the-sea-caught-by-scientist-for-one-of-the-first-times-ever-video/,rare shark caught scientist left blunder answer shark uniqu featur surviv extrem depth live extend period time shark uniqu trait extend jaw telescop fashion beyond mouth ever seen hit scienc fiction movi alien shark monster made manifest earth shark stalk prey lash telescop teeth snatch larg fish swallow one bite dead predat deep sea besid telescop teeth shark glow dark recent discov back <num> three decad sinc first found select exot shark speci found routin survey dongh township taiwan countri fisheri research institut found five horrifi deep-sea shark team notabl horrifi describ obvious featur needle-shap teeth like snake-lik fang also origin viper shark name that right beast call viper shark tell name feroci prey although research gotten hand anim littl known research think creatur swim <num>-<num> meter surfac ocean day <num> meter night could temperatur chang someth light last five specimen trawl depth <num> meter surfac sea four alreadi dead live specimen immedi immers cool seawat could handl sudden chang habitat perish day later viper shark look like alien monster movi feed human main food sourc crustacean boni fish one favorit lunch item lanternfish creatur might attract toward shark glow-in-the-dark bodi swim close enough shark lash extend jaw snatch fish devour whole first specimen viper shark found coast shikoku island japan <num> bottom-trawl vessel seiryo-maru first haul creatur surfac sea fish new discoveri time scientif name honor seiryo-maru captain hiromichi kabeya shark scientif name trigonognathus kabeyai although much fish known scientist classifi dogfish shark found deep part pacif ocean would react shark came end fish line would think nightmar,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Elusive ‘Alien Of The Sea ‘ Caught By Scientist For One Of The First Times Ever (video),Alexander Smith,,[''],,,
5,5,899,blackagendareport.com,fake,https://blackagendareport.com/articlelist/Media%20and%20Culture,republican democrat alik will turn govern coffer bezo ilk right peopl damn,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Black Agenda Report,"Margaret Kimberley, Bar Editor, Senior Columnist, Glen Ford, Bar Executive Editor, Nellie Bailey, Kyle Fraser, Black Agenda Radio Producer, Nellie Bailiey",,[''],,,
6,6,1058,awarenessact.com,fake,http://awarenessact.com/tag/waking-up-in-the-morgue/,could imagin wake morgu one would traumat life <num>-year-old prison name gonzalo montoya jimenez found unrespons cell morn ro,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,waking up in the morgue – Awareness Act,Gerald Sinclair,,[''],,,
7,7,1376,beforeitsnews.com,fake,http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,citizen journalist n morgan q releas sever new post last <num> hour hit bull eye accord q explos info releas could start second american revolut q begin releas inform elit involv child sex abus,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Citizen Journalist,,,[''],,,
8,8,1411,beforeitsnews.com,fake,http://beforeitsnews.com/economy/2018/01/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value-2931673.html,usa dollar tank mnuchin statement want lower dollar valu headlin bitcoin blockchain search exceed trump blockchain stock next harvey organ harvey organ blog usa index break <num> end <num> usa <num> yr bond note <num> gold rise <num> <num> silver rise <num> cent <num> break huge <num> resist monstrous issu gold efp <num> huge silver efp issuanc <num> contract huge <num> tonn gold ad gld noth ad slv huge number swamp stori tonight gold <num> <num> silver <num> <num> cent close access price gold <num> silver <num> shanghai gold fix first fix <num> <num> pm est <num> <num> shanghai local time second fix <num> <num> est <num> <num> shanghai local time shanghai first gold fix <num> dollar per oz ny price gold exact time <num> premium first fix <num> xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix <num> ny gold price exact time <num> premium shanghai 2nd fix ny <num> shanghai reject ny london price gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix <num> <num> est <num> ny price exact time <num> london second gold fix <num> <num> ny price exact time <num> comex gold januari number notic file today januari contract <num> notic <num> oz total notic far <num> <num> oz <num> tonn silver januari <num> notic file today for50 000 oz total number notic file far month <num> <num> oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin bid <num> offer <num> <num> morn bitcoin bid <num> offer <num> <num> close <num> pm end let us look data today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx silver total open interest fell tini <num> contract <num> fall <num> yesterday <num> cent loss silver price thus minim comex liquid howev notifi anoth huge size number comex long transfer contract london efp rout <num> efp march zero month thus total issuanc <num> contract howev movement across london sever gold seem major player will take bank comex still transfer <num> contract cme state silver gold deliv upon comex must export oblig london also keep mind delay <num> hrs issu efp accumul efp silver start first day notic month januari <num> contract <num> trade day total <num> contract <num> million oz averag per day <num> contract <num> million oz day give idea huge suppli month silver far month <num> million paper oz morph london repres around <num> annual global product result tini size loss oi comex despit <num> cent loss silver price usual indic anoth fail banker short-cov also huge size efp issuanc <num> contract exit silver comex transfer oi london forward specul continu interest attack silver comex physic silver cme data <num> efp issu today deliver forward contract london fiat bonus realli gain <num> oi contract e <num> open interest contract head london efp togeth decreas <num> oi comex contract happen fall price silver <num> cent close price <num> respect yesterday trade yet still good amount silver stand comex ounc comex oi still repres <num> billion oz e <num> billion exact <num> annual global silver product ex russia ex china new front januari month file <num> notic <num> oz silver gold open interest surpris rose consider <num> contract to582 421 good size rise price gold yesterday trade <num> anoth huge develop receiv total number gold efp issu wednesday total humong size <num> contract februari saw <num> contract issu april saw issuanc <num> contract new oi gold complex rest <num> also rememb delay issuanc efp banker remov long posit comex gold immedi orchestr privat efp deal long could take addit <num> hrs general get match respect depart comex long new efp long transfer demand gold intensifi great continu wit huge number efp transfer togeth massiv increas gold comex oi togeth total amount gold ounc stand januari comex even though banker issu monstrous efp oblig still rest banker suppli metal transfer risk london banker oblig new york comex oblig long receiv fiat bonus togeth long london forward thus action banker comex state appreci metal massiv fraud cannot suppli metal comex long quit will suppli massiv non back gold silver paper know metal satisfi long london sever backward gold silver big rise gofo sifo wit delay actual deliveri essenc today huge gain <num> contract <num> oi contract increas comex good size <num> oi contract navig london expect huge number efp issu approach first day notic gold feb comex contract wednesday jan <num> yesterday <num> efp issu accumul efp gold exchang physic month januari start first day notic <num> contract <num> million oz <num> tonn <num> trade day thus averag <num> efp contract per trade day <num> oz day give idea huge size efp transfer far month <num> trade day tonn <num> tonn total annual gold product <num> throughout world ex china ex russia <num> tonn thus efp transfer repres <num> <num> tonn <num> global annual product far januari alon result shock strong size increas oi comex fair size rise price gold trade yesterday <num> anoth gigant size number comex long transfer london efp rout <num> obvious seem much physic gold comex yet also observ huge deliveri month month decemb guess explain huge issuanc efp hard gold present gold comex deliveri purpos take account <num> efp contract issu net gain open interest <num> contract two exchang <num> contract move london <num> contract increas comex tonn gain total oi equat <num> tonn <num> notic file upon <num> oz gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx respect two crimin fund gld slv gld gold <num> huge chang gold inventori gld deposit <num> tonn inventori rest tonight <num> tonn slv big chang silver inventori slv huge withdraw <num> million oz slv inventori inventori rest <num> million oz end first outlin discuss tonight <num> today open interest silver fell tini <num> contract <num> <num> littl new comex record set friday april <num> <num> <num> fall price silver tune <num> cent respect yesterday trade banker use emerg procedur issu anoth good <num> privat efp march get look contract privat cftc audit <num> efp month efp give comex long fiat bonus plus deliver product london zero comex silver comex liquid take oi loss comex <num> contractsto <num> oi transfer london efp obtain big gain <num> open interest contract still good amount silver ounc stand metal januari see net gain today oz two exchang <num> million oz result small size decreas silver oi comex despit tini fall <num> cent price respect yesterday trade also anoth strong <num> efp issu transfer comex long london togeth good size amount silver ounc stand januari demand physic silver intensifi wit major bank short cover accompani increas gofo sifo rate indic scarciti report harvey <num> shanghai london gold fix report harvey <num> b gold silver trade overnight europ goldcor mark o'byrn zerohedg ny bloomberg <num> asian affair late tuesday night wednesday morn shanghai close <num> point <num> hang sang close <num> pts <num> nikkei close <num> point <num> australia ordinair close <num> chines yuan onshor close well <num> oil <num> dollar per barrel wti <num> brent stock europ open red onshor yuan close dollar <num> offshor yuan close onshor yuan <num> onshor yuan much stronger dollar shore much stronger dollar dollar index much weaker major currenc china happi today good market weaker usa dollar read harveyorganblog com sourc <url>,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Usa Dollar Tanks On Mnuchin Statement That He Wants A Lower Dollar Value,,,[''],,,
9,9,1422,canadafreepress.com,fake,http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,subscrib canada free press free neither rev rodriguez pope franci presid trump address crowd satellit realli presid trump need mouth wash soap throw spotlight so-cal men cloth presid donald trump need mouth wash soap alleg made use vulgar s word white hous meet immigr there get around word pain cuss word particular heap prais abort advoc member presid trump evangel advisori council decid jump ship day public side nanci pelosi daca redstat jan <num> <num> alway taken lead commit immigr communiti dreamer second none america better place prophet leadership matter rev samuel rodriguez spoke trump inaugur last year told pelosi press confer thursday prophet realli pelosi cours one loudest advoc abort ever elect come second former presid barack obama champion partial birth abort sincer rev rodriguez rais name presid donald trump prayer inaugur discomfit presid use express deni use rev rodriguez member unoffici evangel advisori board presid nation hispan christian leadership confer note everi singl person creat imag god spoke welcom peopl equal nigeria norway albeit rigor vet process later day said addit great due defer believ comment attribut presid best describ wrong inappropri hurt god look nation see children yahoo jan <num> <num> go without say creator see among children million babi kill mother womb sad pastor one hypocrit regard presid alleg use s word preach-worthi open advoc abort tad hypocrit downright sanctimoni vatican newspap l'osservator romano would tri wash-his-mouth-with-soap stanc latest alleg explet presid donald trump know presid trump alleg use s word tattle-t internet world cathol u senat dick durbin went straight media report vulgar repeat use white hous meet immigr tattletal dicki durbin continu newspap l'osservator romano--th vatican flagship--gav trump comment immigr debat unit state front page attent note comment immedi spark controversi indign never mind trump deni use term merci newspap print vulgar word automat spiral democrat full-on faux rage none vulgar explet rile peopl word indiscrimin use honor abort advoc as--if more--offens faith pro-lif cathol must thought s word read twitter abort advoc liliann ploumen former minist foreign trade develop cooper netherland recent honor pope franci titl command pontif equestrian order st gregori great one tweet turn troubl true lepanto institut abl confirm decemb <num> <num> dutch radio broadcast ploumen inde receiv honor brief video clip promot broadcast ploumen display medal say receiv pope lepanto institut jan 12 <num> say liliann ploumen pro-abort extrem understat even come close scandal realiti activ januari last year us presid donald trump reinstat mexico citi polici ploumen launch new ngo call decid provid mass amount fund organ would longer receiv fund us govern mexico citi polici automat deni us fund intern organ perform promot abort refer mexico citi polici global gag rule ploumen state intent decid continu support exist program run organ unit nation popul fund unpfa intern plan parenthood feder mari stope intern said success effect program direct support distribut condom make sure women accompani birth make sure abort safe choic lepanto institut continu ploumen profil ploumen anti-cathol activ restrict abort septemb <num> ploumen particip unit nation lgbti core group first speaker event ploumen note lgbti right human right open remark said cannot complac today <num> countri homosexu still crimin stigma lgbt peopl continu world <num> ploumen end foreign aid countri uganda pass bill ban sodomi same-sex marriag februari <num> ploumen call lgbt activist descend upon disrupt mass st john baptist cathedr wear pink triangl word jesus exclud one reason pro-lgbt activist protest church moral teach regard homosexu continu alreadi know pope franci profil presid donald trump <num> respons question then-candid trump view immigr intent build wall along u border mexico franci said man view christian reuter jan <num> <num> trump grew presbyterian famili shot back say disgrac pope question faith action speak much louder cuss word thousand take part <num> march life today neither rev rodriguez pope franci presid trump address crowd satellit copyright canada free press rss feed judi mcleod judi mcleod award-win journalist <num> year experi print media former toronto sun columnist also work kingston whig standard work appear rush limbaugh newsmax com drudg report foxnew com older articl judi mcleod pleas adher comment polici avoid ban privat own websit reserv right remov comment ban user time comment contain spam advertis vulgar threat violenc racism anti-semit person abus attack user may remov result ban -- follow instruct regist,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,It’s Not Really President Trump Who Needs His Mouth Washed Out With Soap,"Judi Mcleod, Because Without America, There Is No Free World.",,[''],,,
10,10,1570,beforeitsnews.com,fake,http://beforeitsnews.com/crime-all-stars/2018/01/clinton-obama-emails-key-to-understanding-why-hillary-wasnt-indicted-andrew-mccarthy-2462346.html,clinton-obama email key understand hillari indict - andrew mccarthi headlin bitcoin blockchain search exceed trump blockchain stock next andrew c mccarthi famili secur matter new fbi text highlight motiv conceal presid involv first column argu whitewash hillari clinton-email caper presid barack obama call - fbi justic depart see e g decis inevit obama use pseudonym email account repeat communic secretari clinton privat non-secur email account email must involv classifi inform given natur consult presid secretari state broad outlin obama execut order defin classifi intellig see eo <num> section <num> fact obama administr adam refus disclos clinton-obama email classifi inform mishandl necessarili mishandl end email exchang clinton charg obama culpabl involv would patent prosecut clinton clinton-obama email would spotlight prosecut would proof will prefer grossli neglig mishandl intellig signific clinton defens would show obama complicit clinton conduct yet face crimin charg indict hillari clinton never go happen latest jaw-drop disclosur text messag fbi agent peter strzok paramour fbi lawyer lisa page illustr point moment want put asid latest controversi - fbi failur retain five month text messag strzok page chattiest star-cross lover yes glitch close window critic time trump-russia investig mid decemb <num> mid may <num> bureau justic depart report conduct renew <num>-day interv court-approv fisa surveil may well focus newli sworn-in presid unit state rememb bureau then-director jame comey testifi march <num> hous intellig committe hear investig probe possibl coordin trump campaign kremlin interfer elect retent default chalk technolog mishap assum truli indiscrimin bureau-wid problem - lost text limit phone involv trump-russia investig - hard imagin go undetect five month agenc whose busi inform retent inconceiv attorney general jeff session maintain aggress inquiri underway let assum argument sake least either text recov satisfactori explan non-retent forthcom let stick clinton-obama email juli <num> <num> comey held press confer deliv statement describ mrs clinton crimin conduct nevertheless recommend indict know comey remark work two month revis sever time director advis past weekend letter fbi regard miss text senat homeland secur committe chairman ron johnson r wis address revis accord senat johnson draft date june <num> <num> e five day comey deliv final version contain passag expressli refer troublesom email exchang clinton obama note fbi report eventu interview clinton contain cryptic refer juli <num> <num> email clinton sent russia obama email address see report page <num> passag june <num> draft state also assess secretari clinton use person email domain known larg number peopl readili appar also use person email extens outsid unit state includ territori sophist adversari use includ email exchang presid secretari clinton territori adversari emphasi ad given combin factor assess possibl hostil actor gain access secretari clinton person email account day accord strzok-pag text revis draft comey remark circul chief staff jim rybicki replac presid anoth senior govern offici effort obscur obama involv obvious flaw would practic beg congression investig enterpris journalist press identif senior govern offici clinton exchang email go work consequ time comey deliv remark juli <num> decis made avoid even veil allus obama instead stress place clinton go charg anyway irrespons send receiv sensit email like penetr hostil intellig servic comey made refer clinton correspond also assess secretari clinton use person e-mail domain known larg number peopl readili appar also use person e-mail extens outsid unit state includ send receiv work-rel e-mail territori sophist adversari emphasi ad given combin factor assess possibl hostil actor gain access secretari clinton person e-mail account decis purg refer obama consist panic seiz administr moment clinton use privat non-secur server system reveal earli march <num> detail reaction seri <num> column see e g alarm obama clinton advis group overlap sever clinton-obama email exchang also obama dissembl knowledg clinton privat email use nation televis interview march <num> new york time broke news clinton email practic state depart john podesta top obama advis clinton campaign chairman email cheryl mill clinton confid top aid obama state depart suggest clinton email potus held - e disclos - that heart exec privileg time hous committe investig benghazi jihadist attack press product clinton email counselor grappl address involv clinton misconduct obama decept told cbs news march <num> interview found clinton use person email conduct state depart busi time everybodi els learn news report perhap confid use alia communic clinton email - estim number around <num> - would remain undiscov clinton advis confid right interview air clinton campaign secretari josh scherwin email jennif palmieri senior campaign staffer state jen probabl look like potus said found hrc use person email saw news scherwin alert forward mill short afterward agit mill email podesta need clean - email - say state gov obama email clinton know privat account sinc address end state gov state depart email obama helper clean obama email communic clinton seal invok dubious presidential-record privileg white hous insist matter noth content email cours rather intend vindic principl confidenti presidenti communic close advis media content play along twofold benefit obama abl <num> sidestep disclosur without acknowledg email contain classifi inform <num> avoid use term execut privileg - dark waterg connot - even though precis invok note claim execut privileg must yield demand disclosur relev evid crimin prosecut cours that problem prosecut white hous purport repair presid disingenu statement cbs interview ration meant learn clinton homebrew server system news report - meant claim unawar occasion use privat email sheer misdirect obama standpoint problem discuss govern intellig matter secretari state privat email account fact addit clinton privat email account connect privat server system rather privat email servic besid point media interest distinct content accept white hous non-explan meanwhil attorney general loretta lynch order comey use word matter rather investig describ fbi probe clinton email practic ensur democrat administr law-enforc agenc align stori democrat candid campaign rhetor investig would prosecut april <num> anoth nation televis interview obama made clear want clinton indict rational legal frivol straw man clinton intend harm nation secur element feloni offens commit disput matter obama analysi state view chief execut sure happen subordin execut law-enforc agenc conform decis state view would prosecut within week even though investig ostens still underway dozen key wit - includ clinton - yet interview fbi began draft comey remark would close investig would prosecut june <num> lynch met clinton husband former presid bill clinton out-of-the-way arizona tarmac secur detail arrang plane park next day fbi took pain strike refer obama email mrs clinton statement comey would effect end matter prosecut juli <num> amid intens public critic meet bill clinton attorney general lynch piousli announc would accept whatev recommend fbi director career prosecutor made charg clinton page told strzok text day purpos leak follow airplan snafu also playact page elabor attorney general alreadi know charg brought cours understood involv would prosecut know lynch given fbi notic june <num> she'd announc intent accept comey recommend fear might look bit choreograph fbi prompt amend comey plan remark includ assert fact made juli <num> coordin review statement way depart justic part govern know say need particip draft statement need know precis word go use comey decis anyway need know would prosecut juli <num> decis would indict long sinc made mrs clinton sat interview fbi - someth she'd never done chanc might charg farc complet justic depart fbi permit two subject investig - mill clinton aid heather samuelson - sit interview lawyer repres clinton someth law enforc abid serious make case howev clear would prosecut clean indict mean prosecut mean disclosur clinton-obama email work like charm except part mrs clinton win presid problem never spoken version piec also appear nation review onlin <url> read great articl <url>,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Clinton–Obama Emails: Key to Understanding Why Hillary Wasn’t Indicted – Andrew McCarthy,John Rolls,,[''],,,
